Item_Type,Initial_Price,New_Price,Price_Change (%)
Breads,140.95266852589643,157.15737456297694,11.49655853028658
Breakfast,141.78815090909092,83.83792356651789,-40.87099448791632
Canned,139.7638320493066,146.75202365177194,5.000000000000014
Dairy,148.49920762463344,163.72037640615838,10.250000000000007
Frozen Foods,138.50336612149533,159.93412180838004,15.473093749999997
Fruits and Vegetables,144.5812345779221,157.0246930619215,8.606551548910046
Hard Drinks,137.07792803738317,157.4976730321764,14.89644998808595
Health and Hygiene,130.81892076923077,157.0334890021164,20.03882013300588
Household,149.4247531868132,164.3289384124904,9.974374999999998
Meat,139.88203247058823,161.5261104941678,15.473093750000006
Others,132.8514295857988,131.85753275240646,-0.7481265624999975
Seafood,141.84171875,146.71371370674171,3.434810998961969
Snack Foods,146.19493366666666,161.1799143675,10.25000000000001
Soft Drinks,131.49250561797754,157.44744717637883,19.738723082673353
Starchy Foods,147.83802297297296,157.3785013143136,6.453331930098111
